8,Numerical Reasoning,8.NR.1: Rational and Irrational Numbers,8.NR.1.1,Distinguish between rational and irrational numbers.
8,Numerical Reasoning,8.NR.1: Rational and Irrational Numbers,8.NR.1.2,Approximate irrational numbers and locate them on a number line.
8,Numerical Reasoning,8.NR.2: Integer Exponents and Scientific Notation,8.NR.2.1,Apply properties of integer exponents.
8,Numerical Reasoning,8.NR.2: Integer Exponents and Scientific Notation,8.NR.2.2,Use square root and cube root symbols.
8,Numerical Reasoning,8.NR.2: Integer Exponents and Scientific Notation,8.NR.2.3,Use scientific notation to estimate large/small quantities.
8,Numerical Reasoning,8.NR.2: Integer Exponents and Scientific Notation,8.NR.2.4,Perform operations with scientific notation.
8,Patterning & Algebraic Reasoning,8.PAR.3: Linear Equations and Inequalities,8.PAR.3.1,Interpret expressions and parts of an expression.
8,Patterning & Algebraic Reasoning,8.PAR.3: Linear Equations and Inequalities,8.PAR.3.2,Describe and solve linear equations in one variable.
8,Patterning & Algebraic Reasoning,8.PAR.3: Linear Equations and Inequalities,8.PAR.3.3,Create and solve linear equations from real-world contexts.
8,Patterning & Algebraic Reasoning,8.PAR.4: Systems of Linear Equations,8.PAR.4.1,Solve systems of linear equations algebraically.
8,Patterning & Algebraic Reasoning,8.PAR.4: Systems of Linear Equations,8.PAR.4.2,Solve real-world problems using systems of linear equations.
8,Functions & Graphical Reasoning,8.FGR.5: Functions,8.FGR.5.1,Understand that a function is a rule assigning one output to each input.
8,Functions & Graphical Reasoning,8.FGR.5: Functions,8.FGR.5.2,Compare properties of two functions represented differently.
8,Functions & Graphical Reasoning,8.FGR.5: Functions,8.FGR.5.3,Interpret the equation y = mx + b as a linear function.
8,Functions & Graphical Reasoning,8.FGR.6: Transformations and Geometry,8.FGR.6.1,"Verify properties of rotations, reflections, and translations."
8,Functions & Graphical Reasoning,8.FGR.6: Transformations and Geometry,8.FGR.6.2,Understand congruence through physical models or software.
8,Functions & Graphical Reasoning,8.FGR.6: Transformations and Geometry,8.FGR.6.3,"Describe the effect of dilations, translations, rotations, and reflections on 2D figures."
8,Geometric & Spatial Reasoning,8.GSR.7: Pythagorean Theorem,8.GSR.7.1,Explain a proof of the Pythagorean Theorem.
8,Geometric & Spatial Reasoning,8.GSR.7: Pythagorean Theorem,8.GSR.7.2,Apply the Pythagorean Theorem in real-world problems.
8,Geometric & Spatial Reasoning,8.GSR.7: Pythagorean Theorem,8.GSR.7.3,Apply the Pythagorean Theorem to find the distance between two points.
8,Data & Statistical Reasoning,8.DSR.8: Bivariate Data,8.DSR.8.1,Construct and interpret scatter plots.
8,Data & Statistical Reasoning,8.DSR.8: Bivariate Data,8.DSR.8.2,Know that straight lines are used to model relationships.
8,Data & Statistical Reasoning,8.DSR.8: Bivariate Data,8.DSR.8.3,Use the equation of a linear model to solve problems.
